_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3215465,324750119,23176087,6,2023-11-05T17:30:00,"300 Block N Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,507,6,3,-79.95384881540078,40.451709417604974
3215466,324751610,23176126,10,2023-11-05T20:21:00,"1000 Block Shady Ave Pittsburgh, PA 15232",N,Point Breeze,4,SIMPLE ASSAULT,2701 Simple Assault. / 607.03 Discharging Firearm or Airgun,1404,,,,
3215467,324752881,23175754,10,2023-11-05T01:02:00,"7700 Block Hamilton Ave Pittsburgh, PA 15221",Y,Homewood South,5,SIMPLE ASSAULT,2701 Simple Assault.,1304,9,2,-79.88909220258323,40.45256859193237
3215468,-3532085965,23176148,0,2023-11-05T21:53:00,"3600 Block Wind Gap Ave Pittsburgh, PA 15204",Y,Fairywood,6,99,8106 Shots Fired,2808,,,,
3215469,324760254,23176203,27,2023-11-06T01:05:00,"200 Block Essen St Pittsburgh, PA 15214",N,Spring Hill-City View,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2620,1,1,-80.00254947105284,40.47307668066808
3215470,-3699000373,23176174,0,2023-11-05T23:23:00,"Bennett St & Collier St Pittsburgh, PA 15208",Y,Homewood South,5,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 3325 Duty of Driver on Approach of Emergency Vehicle. / 3714 Careless Driving / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 3301 Arson  / 1543 Driving While Operating Privilege is Suspended or Revoked.,1303,9,2,-79.89226853946305,40.45547091783259
3215471,324759563,23171961,0,2023-10-29T05:05:00,"Baum Blvd & Liberty Ave Pittsburgh, PA 15224",Y,Bloomfield,5,99,3742.1 Accident Involv. Death/Inj. While not Licensed / 1543 Driving While Operating Privilege is Suspended or Revoked. / 4581 Restraint Systems.,804,7,2,-79.93964316707483,40.45663498367191
3215472,325185505,23178712,26,2023-11-10T13:35:00,"Penn Ave & N Mathilda St Pittsburgh, PA 15224",N,Central Lawrenceville,2,LURING CHILD INTO MOTOR VEHICLE,2910 Luring a Child into a Motor Vehicle.,902,7,2,-79.9464499524183,40.46547442732796
3215473,325186308,23178695,6,2023-11-10T15:15:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,9,2,-79.92217494469345,40.46516578481274
3215474,325190664,23178805,6,2023-11-10T18:03:00,"4700 Block Centre Ave Pittsburgh, PA 15213",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,804,8,2,-79.94928072404439,40.45255923360865
3215475,325191614,23177872,14,2023-11-10T21:15:00,"700 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,2,CRIM MISCHIEF,3304 Criminal Mischief. / 3301 Arson ,103,6,6,-79.99459104985328,40.435334670473395
3215476,325195467,23178872,0,2023-11-10T20:50:00,"6000 Block Carver St Pittsburgh, PA 15206",Y,Larimer,5,99,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent,1208,,,,
3215477,325205136,23178672,18,2023-11-10T15:05:00,"100 Block Mayflower St Pittsburgh, PA 15206",N,Larimer,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 4703 Operation of Vehicle without Official Certif. of Inspection / 5101 Obstructing Admin. of Law  / 1311 Registration Card to be Signed and Exhibited on Demand. / 1511 Carrying and Exhibiting Driver's License on Demand. / 3354 Additional Parking Regulations. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 4524 Windshield Obstructions and Wipers. / 1301 Registration and Certificate of Title Required. / 1332 Display of Registration Plate. / 1786 Required Financial Responsibility.,1208,,,,
3215478,325206994,23179109,6,2023-11-11T09:48:00,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.,1203,9,2,-79.90116533720962,40.468626799403125
3215479,325212981,23179250,18,2023-11-11T13:55:00,"500 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30)* Delivery of Controlled Substance / 903 Criminal Conspiracy.,201,6,6,-79.99811947171193,40.44034004199207
3215480,325219401,23179343,6,2023-11-11T16:50:00,"1500 Block Protectory Pl Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,305,,,,
3215481,324214923,22171286,15,2023-10-28T03:15:00,"8000 Block Bennett St Pittsburgh, PA 15221",Y,Homewood North,5,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 5121 Escape. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3802(a)(1) DUI - General Impairment / 3733 Fleeing or Attempting to Elude Police Officer / 1543 Driving While Operating Privilege is Suspended or Revoked. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1301,9,2,-79.8841190303238,40.45393259937531
3215482,324218113,23171345,14,2023-10-28T06:11:00,"Foreside Pl & Crawford St Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,305,6,6,-79.98542594621644,40.440234133370375
3215483,324225873,23171367,14,2023-10-28T08:00:00,"100 Block S Fairmount St Pittsburgh, PA 15206",N,Friendship,5,CRIM MISCHIEF,3304 Criminal Mischief.,807,9,2,-79.93195326818633,40.46456674045694
3215484,324234747,23171492,11,2023-10-28T12:00:00,"5900 Block Bryant Ct Pittsburgh, PA 15206",N,Highland Park,5,IDENTITY THEFT,4120 Identity Theft,1102,7,2,-79.91967443335992,40.474754457181426
3215485,324235433,23171461,11,2023-10-28T13:10:00,"20 Block Meritt Ave Pittsburgh, PA 15227",N,Carrick,3,THEFT OF SERVICES,"3926(a)(1) Theft of Services; Cable, Gas, Taxi, Bill, Tab, etc.",2904,4,3,-79.9783443924891,40.383895082666655
3215486,324237856,23171531,0,2023-10-28T14:42:00,"Montgomery Pl & Federal St N Pittsburgh, PA 15212",N,Allegheny Center,1,99,9999 9999 - (Misc. Incident): ,2204,1,1,-80.00642116456196,40.45479392359298
3215487,324244201,23171671,6,2023-10-28T19:38:00,"2100 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1413,5,3,-79.92323754745422,40.433514196571934
3215488,324246290,23171704,11,2023-10-28T21:30:00,"4700 Block Centre Ave Pittsburgh, PA 15213",N,Shadyside,4,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception.,709,8,2,-79.94928072404439,40.45255923360865
3215489,324251471,23171941,10,2023-10-29T04:18:00,"400 Block Lorenz Ave Pittsburgh, PA 15220",Y,Elliott,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2020,2,5,-80.03716216377572,40.446521055021876
3215490,324761508,23176233,6,2023-11-06T03:09:00,"Brushton Ave & Forest Way Pittsburgh, PA 15221",Y,Homewood North,5,THEFT FROM AUTO,3934 Theft from Vehicle / 13(a)(32) Paraphernalia - Use or Possession / 4914 False Identification to Law Enforcement Authorities,1301,9,2,-79.8879018422569,40.45603090796585
3215491,324762515,23176218,10,2023-11-06T02:55:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,TERRORISTIC THREATS,"2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats. / 6106 Firearms not to be Carried without a License. / 13(a)(31) Marijuana: Possession Small Amount / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",509,6,3,-79.97427399849045,40.44961434187343
3215492,324762754,23176248,6,2023-11-06T04:00:00,"2000 Block Jacob St Pittsburgh, PA 15210",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,3206,4,5,-79.9992681179769,40.39220787830839
3215493,324764756,23176255,0,2023-11-06T04:15:00,"1000 Block Marena St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): ,2020,2,5,-80.03764384580126,40.44601699173744
3215494,324780471,23176279,6,2023-11-06T08:00:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Middle Hill,2,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.,501,6,3,-79.97832011881441,40.44823273765979
3215495,324796075,23176377,10,2023-11-06T11:00:00,"S 18th St & E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,TERRORISTIC THREATS,2706 Terroristic Threats.,1702,3,3,-79.98056527347268,40.428766558291954
3215496,324797339,23176396,0,2023-11-06T12:15:00,"200 Block Dengler St Pittsburgh, PA 15210",N,Arlington,3,99,9993 PFA Service with Weapons Supplement,1603,3,3,-79.96766444316566,40.41553944521761
3215497,325182994,23178551,0,2023-11-10T09:45:00,"100 Block Rental Car Access Rd Pittsburgh, PA 15231",N,Outside State,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),7799,,,-80.25796109577662,40.49094655429308
3215498,325252775,23179059,10,2023-11-11T05:30:00,"6600 Block Frankstown Ave Pittsburgh, PA 15206",Y,Larimer,5,HARRASSMENT,2709(a) Harassment.,1208,9,2,-79.9108728427252,40.45944023398032
3215499,-3600010351,23179791,27,2023-11-12T15:31:00,"Brightridge St & N Charles St Pittsburgh, PA 15212",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2614,6,1,-80.01827806060022,40.462062256291894
3215500,325255775,23179782,6,2023-11-12T15:00:00,"1100 Block Portland St Pittsburgh, PA 15206",N,Highland Park,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1102,7,2,-79.92334034838835,40.4751570422054
3215501,325259422,23179855,0,2023-11-12T17:30:00,"2800 Block California Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): ,2715,1,1,-80.0355360191912,40.46873719484479
3215502,324253634,23171880,9,2023-10-29T02:29:00,"1200 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,TAMPER WITH/FAB PHYS EVIDENCE,"4910 Tampering with or Fabricating Physical Evidence. / 6106 Firearms not to be Carried without a License. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1702,3,3,-79.98621319665266,40.42858285987488
3215503,324261181,23172044,6,2023-10-29T09:30:00,"Ophelia St & Lawn St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,6,3,-79.96577404988031,40.435747647646096
3215504,324261191,23171487,6,2023-10-28T13:14:00,"5900 Block Centre Ave Pittsburgh, PA ",N,Shadyside,4,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",705,,,,
3215505,324262779,23171601,0,2023-10-28T18:05:00,"300 Block E Elizabeth St Pittsburgh, PA 15207",N,Hazelwood,4,99,9999 9999 - (Misc. Incident): Child Custody,1515,5,3,-79.9472120826774,40.40656849017254
3215506,324268332,23172177,9,2023-10-28T18:00:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,4,FORGERY,4101 Forgery. / 3922 Theft by Deception.,1702,3,3,-79.97643264287119,40.43034081399975
3215507,324272152,23172296,6,2023-10-29T20:41:00,"900 Block Benton Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,THEFT,3921 Theft by Unlawful Taking or Disposition.,2708,1,1,-80.03448678686314,40.489063165792054
3215508,324272427,23172166,0,2023-10-29T16:09:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",Y,Fineview,1,99,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,2509,6,1,-80.00698339373714,40.46031055249301
3215509,324803733,23176352,6,2023-11-06T09:30:00,"700 Block Casino Dr Pittsburgh, PA 15233",Y,Chateau,1,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property. / 3503 Criminal Trespass,2108,,,,
3215510,324804500,23176382,0,2023-11-06T11:40:00,"400 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,99,9997 Overdose Death,1919,,,,
3215511,324806562,23176451,0,2023-11-06T13:55:00,"1700 Block Belleau Dr Pittsburgh, PA 15212",N,Fineview,1,99,9994 PFA Service,2509,6,1,-80.00698339373714,40.46031055249301
3215512,324811139,23176456,0,2023-11-06T14:05:00,"500 Block Grandview Ave Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident): Aggressive illegal parker,1903,2,5,-80.01191039931084,40.43490921566659
3215513,324822008,23176580,29,2023-11-06T17:26:00,"1500 Block Monterey St Pittsburgh, PA 15212",N,Central North Side,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2503,6,1,-80.01341221881468,40.45730166440583
3215514,324826066,23173928,0,2023-11-01T19:55:00,"400 Block Fort Pitt Blvd Pittsburgh, PA 15219",N,Central Business District,2,99,3733 Fleeing or Attempting to Elude Police Officer / 3734 Driving without Lights to Avoid Identification or Arrest / 3112 Traffic-Control Signals. / 3736 Reckless Driving,201,,,,
3215515,324836843,23176629,6,2023-11-02T16:00:00,"70 Block 33rd St Pittsburgh, PA 15201",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,7,6,-79.97143372531536,40.46334772857226
3215516,324839513,23176684,99,2023-11-06T20:21:00,"300 Block N Braddock Ave Pittsburgh, PA 15208",N,Point Breeze North,4,MENTAL 201/302,9498 302 (Mental),1405,9,2,-79.89280139717684,40.449654633119316
3215517,325009315,23177599,15,2023-11-08T14:00:00,"N Charles St & Hazelton St Pittsburgh, PA 15214",Y,Perry South,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 5121 Escape. / 5126 Flight to Avoid Apprehension, Trial or Punishment. / 3334 Turning Movements and Required Signals. / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm / 6110.1 Possesion of Firearm by Minor",2614,6,1,-80.00726414788305,40.471281598933786
3215518,325258394,23179859,6,2023-11-12T17:00:00,"800 Block Brighton Rd Pittsburgh, PA 15233",N,Allegheny West,1,THEFT FROM AUTO,3934 Theft from Vehicle,2201,1,1,-80.01388690564104,40.451967763749735
3215519,325260544,23179899,0,2023-11-12T18:00:00,"300 Block W Burgess St Pittsburgh, PA 15214",N,Perry South,1,99,9999 9999 - (Misc. Incident): Parking complaint,2614,6,1,-80.01336536509885,40.46650981853858
3215520,325270317,23179911,18,2023-11-12T19:58:00,"Stanton Ave & N Negley Ave Pittsburgh, PA 15206",N,Highland Park,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 9124 Drug Investigation / 3323 Stop Signs and Yield Signs.,1102,9,2,-79.92628082722217,40.47153011173606
3215521,324315305,23172519,0,2023-10-30T09:46:00,"1300 Block Page St Pittsburgh, PA 15233",N,Bluff,1,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,103,6,1,-80.02389739809522,40.4516061676143
3215522,324351245,23006269,3,2023-10-30T16:30:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,3,ROBBERY,3701 Robbery. / 3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.,1609,6,6,-79.99688178462712,40.43480407292362
3215523,324355525,23172687,29,2023-10-29T14:00:00,"2200 Block Wilner Dr Pittsburgh, PA 15221",N,East Hills,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1306,,,,
3215524,324356533,23172700,99,2023-10-30T15:45:00,"900 Block James St Pittsburgh, PA 15212",N,East Allegheny,1,FOUND PROPERTY,9489 Found Property,2304,,,-79.87761740466495,40.447187435212506
3215525,-3583011486,23172777,99,2023-10-30T19:35:00,"200 Block Dinwiddie St Pittsburgh, PA 15219",N,Crawford-Roberts,2,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,305,6,3,-79.98071304946473,40.43908195743537
3215526,324752802,23176135,26,2023-11-05T20:40:00,"Penn Ave & 10th St Pittsburgh, PA 15222",N,Central Business District,2,FAILURE TO PREVENT CATASTROPHE,"3303 Overtaking Vehicle on the Left. / 4523 Exhaust Systems, Mufflers and Noise Control. / 3733 Fleeing or Attempting to Elude Police Officer / 3112 Traffic-Control Signals.",201,6,6,-79.99561240940719,40.4444643657088
3215527,324844308,23176784,0,2023-11-07T02:07:00,"400 Block Blvd Of The Allies Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): cardiac arrest,201,,,,
3215528,324845335,23176771,3,2023-11-07T01:17:00,"200 Block S Highland Ave Pittsburgh, PA 15206",Y,Shadyside,4,ROBBERY OF MOTOR VEHICLE,3702 Robbery of Motor Vehicle. / 2701 Simple Assault. / 2705 Recklessly Endangering Another Person. / 3925 Receiving Stolen Property. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1501 Drivers Required to be Licensed. / 3736 Reckless Driving,708,8,2,-79.92529613194029,40.45875585891225
3215529,324850342,23176827,99,2023-11-07T05:33:00,"2200 Block Webster Ave Pittsburgh, PA 15219",N,Middle Hill,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),501,6,3,-79.97786699256748,40.44735455758375
3215530,324853385,23174265,26,2023-11-02T12:07:00,"400 Block S Highland Ave Pittsburgh, PA 15232",N,Shadyside,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,706,8,2,-79.92547142615959,40.45379211230231
3215531,324859364,23176862,6,2023-11-07T05:30:00,"300 Block Ophelia St Pittsburgh, PA 15213",N,South Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,409,6,3,-79.96327758727959,40.43494756887175
3215532,324862006,23176885,99,2023-11-07T09:05:00,"800 Block Ridge Ave Pittsburgh, PA 15212",Y,Allegheny West,1,FOUND PROPERTY,9489 Found Property,2201,1,1,-80.01345607363389,40.45060420728729
3215533,324864201,23176878,13,2023-11-07T10:05:00,"1900 Block Lincoln Hwy North Versailles, PA 15137",N,Outside City,OSC,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 9094 Recovered Stolen Vehicle (OUTSIDE CITY),5599,,,-79.77947575696611,40.36752381694548
3215534,324868413,23176244,0,2023-11-06T04:30:00,"East Ohio St & East St Pittsburgh, PA 15212",N,East Allegheny,1,99,"6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm / 3334 Turning Movements and Required Signals.",2304,1,1,-79.99786306897498,40.45398986873885
3215535,324879312,23176867,99,2023-11-07T08:23:00,"400 Block Birmingham Ave Pittsburgh, PA 15210",N,Carrick,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2902,4,3,-79.98126740311658,40.40381418544208
3215536,324889505,23176968,0,2023-11-07T12:17:00,"1700 Block Bentley Dr Pittsburgh, PA 15219",N,Terrace Village,2,99,9993 PFA Service with Weapons Supplement,511,,,,
3215537,324902700,23176985,0,2023-11-07T13:00:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,99,9993 PFA Service with Weapons Supplement,103,6,6,-79.99459104985328,40.435334670473395
3215538,324910571,23177046,0,2023-11-07T14:30:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9994 PFA Service,1106,9,2,-79.90861667551917,40.470305633259095
3215539,-3714003584,23179781,14,2023-11-12T14:15:00,"2000 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2902,4,3,-79.98686773084695,40.39496594765814
3215540,325299913,23180136,99,2023-11-13T10:04:00,"2500 Block N Charles St Pittsburgh, PA 15214",Y,Perry South,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2615,6,1,-80.01882043373908,40.46689368176854
3215541,325344469,23180388,10,2023-11-13T17:58:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(b)(2) Simple Assault -  Child Under 12 / Adult 21 Or Older",2901,4,3,-79.98652355758374,40.39319983122647
3215542,-3672010828,23180409,10,2023-11-13T17:30:00,"50 Block Mullooly St Pittsburgh, PA 15227",N,Overbrook,3,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",3204,4,5,-79.99140374981948,40.38023766603497
3215543,324382867,23172956,14,2023-10-31T05:30:00,"5000 Block E Circuit Dr Pittsburgh, PA 15217",N,Squirrel Hill North,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1403,,,,
3215544,324394853,23173011,6,2023-10-31T09:39:00,"500 Block N Taylor Ave Pittsburgh, PA 15212",Y,Central North Side,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2206,1,1,-80.01233900798712,40.45657467249231
3215545,324404901,23172515,0,2023-10-31T09:09:00,"300 Block Parkfield St Pittsburgh, PA 15210",N,Carrick,3,99,"5532(a)(1) Neglect of Animals - Neglect of Animals, Sustenance/Water, Bodily Injury / 5532(a)(2) Neglect of Animals - Neglect of Animals, Shelter/Protection, Bodily Injury / 633.09(a) Harboring a Nuisance; Any animal to create offensive odor, excessive noise or unsanitary condition / 633.02(a) Dog License Required; 3 Months or Older / 633.05 Rabies Vaccination / 5532(a)(3) Neglect of Animals - Neglect of Animals, Vet Care",2901,4,3,-79.99225172725593,40.39465476463145
3215546,324412013,23173093,0,2023-10-31T11:45:00,"2700 Block Kingwood St Pittsburgh, PA 15234",N,Overbrook,3,99,9994 PFA Service,3207,4,5,-80.00288917561154,40.37759775409286
3215547,324458566,23173410,26,2023-10-31T22:30:00,"1600 Block Crucible St Pittsburgh, PA 15220",Y,Crafton Heights,6,LOITERING PROWLING AT NIGHT,5506 Loitering and Prowling at Night,2814,2,5,-80.05172115698821,40.44745712596411
3215548,324459101,23173433,27,2023-10-31T23:41:00,"Beechwood Blvd & I-376 Ramp Pittsburgh, PA 15217",N,Greenfield,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 3746 Immediate Notice of Accident to Police Department,1517,,,,
3215549,324479874,23173567,6,2023-11-01T08:00:00,"1400 Block N St Clair St Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1102,7,2,-79.91984537206426,40.477588562038186
3215550,324915257,23177001,99,2023-11-07T11:50:00,"2900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2904,4,3,-79.97693802735347,40.38236474337243
3215551,324921245,23176498,0,2023-11-06T15:35:00,"E Warrington Ave & Millbridge St Pittsburgh, PA 15210",N,Allentown,3,99,9999 9999 - (Misc. Incident): On-going Juvenile Dispute,1803,3,5,-79.99581948990627,40.4217800011044
3215552,324924339,23176995,18,2023-11-07T13:12:00,"7200 Block Brushton Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,1202,,,,
3215553,324928050,23177096,18,2023-11-07T16:29:00,"600 Block East Ohio St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,2304,1,1,-79.99897807207657,40.4539777944947
3215554,324928952,23177112,10,2023-11-07T16:30:00,"5500 Block Centre Ave Pittsburgh, PA 15232",Y,Shadyside,4,TERRORISTIC THREATS,2706 Terroristic Threats.,709,8,2,-79.93645164728059,40.45657066874426
3215555,324929540,23177109,6,2023-11-07T15:20:00,"4000 Block Franklin Rd Pittsburgh, PA 15214",N,Perry North,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2602,1,1,-80.01885282178826,40.49130083330007
3215556,324929560,23177064,99,2023-11-07T15:13:00,"1500 Block Monterey St Pittsburgh, PA 15212",N,Central North Side,1,AIDED CASE,9497 Aided Case,2503,6,1,-80.01341221881468,40.45730166440583
3215557,324931415,23177167,27,2023-11-07T18:08:00,"5th Ave & Beechwood Blvd Pittsburgh, PA 15206",N,Shadyside,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,708,8,3,-79.91535809401911,40.45362176829042
3215558,324931596,23177163,0,2023-11-07T18:03:00,"1000 Block Fairdale St Pittsburgh, PA 15204",Y,Sheraden,6,99,8106 Shots Fired,2022,2,5,-80.06137483161764,40.45550428450253
3215559,324933448,23177126,0,2023-11-07T17:03:00,"300 Block Birmingham Ave Pittsburgh, PA 15210",Y,Carrick,3,99,8106 Shots Fired / 627.02(b)(i) Possessing a small amount of marijuana / 4914(A) False Identification to Law Enforcement,2902,4,3,-79.9840218779391,40.402800705217444
3215560,324934278,23177189,99,2023-11-07T18:41:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,AIDED CASE,9497 Aided Case,509,6,3,-79.97462513627863,40.44984080982751
3215561,324948016,23177033,99,2023-11-07T14:19:00,"4300 Block Stanton Ave Pittsburgh, PA 15201",N,Stanton Heights,5,MENTAL 201/302,9498 302 (Mental),1018,9,2,-79.94339046245778,40.47927305607
3215562,325004958,23177608,0,2023-11-08T14:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9993 PFA Service with Weapons Supplement,1106,9,2,-79.90861667551917,40.470305633259095
3215563,325006194,23177610,0,2023-11-08T14:00:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9994 PFA Service,1106,9,2,-79.90861667551917,40.470305633259095
3215564,325025031,23177787,0,2023-11-08T17:10:00,"1400 Block Washington Blvd Pittsburgh, PA 15206",N,Highland Park,5,99,9994 PFA Service,1106,9,2,-79.90861667551917,40.470305633259095
3215565,325096964,23178083,99,2023-11-09T11:21:00,"5600 Block Forward Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,MENTAL 201/302,9498 302 (Mental),1414,5,3,-79.9269858254165,40.42759402127491
3215566,325103081,23178116,6,2023-11-09T12:35:00,"8100 Block Frankstown Ave Pittsburgh, PA 15221",Y,East Hills,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities,1306,9,2,-79.88333362380375,40.45544632584001
